01/17/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,1.85,,1.85
01/17/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,4.25,,4.25
01/17/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,20.97,,20.97
01/27/17,Div,WisdomTree High Dividend ETF,DHS,_DivInc,WISDOMTREE HIGH DIVIDENDETF,,,,354.2,,354.2
01/27/17,Div,WisdomTree LargeCap Dividend ETF,DLN,_DivInc,WISDOMTREE LARGECAP     DIVIDEND ETF,,,,224.73,,224.73
01/27/17,Div,WisdomTree Total Dividend ETF,DTD,_DivInc,WISDOMTREE TOTAL        DIVIDEND ETF,,,,178.4,,178.4
01/31/17,Div,FIDELITY CAPITAL & INCOME FUND,FAGIX,_DivInc,,,,,1947.8,,1947.8
02/07/17,Div,Vanguard Long-Term Bond Index ETF,BLV,_DivInc,VANGUARD LONG TERM BOND ETF,,,,903.01,,903.01
02/15/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,3.73,,3.73
02/15/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,44.56,,44.56
02/24/17,Div,WisdomTree High Dividend ETF,DHS,_DivInc,WISDOMTREE HIGH DIVIDENDETF,,,,462,,462
02/24/17,Div,WisdomTree LargeCap Dividend ETF,DLN,_DivInc,WISDOMTREE LARGECAP     DIVIDEND ETF,,,,255.38,,255.38
02/24/17,Div,WisdomTree Total Dividend ETF,DTD,_DivInc,WISDOMTREE TOTAL        DIVIDEND ETF,,,,237.86,,237.86
02/28/17,Div,FIDELITY CAPITAL & INCOME FUND,FAGIX,_DivInc,DIVIDEND RECEIVED,,,,1694.22,,1694.22
02/28/17,Div,FIDELITY CASH RESERVES,FDRXX,_DivInc,DIVIDEND RECEIVED,,,,1.05,,1.05
02/28/17,Cash,-Cash-,,Interest Earned,INTEREST EARNED,,,,0.05,,0.05
03/07/17,Div,Vanguard Long-Term Bond Index ETF,BLV,_DivInc,VANGUARD LONG TERM BOND ETF,,,,841.22,,841.22
03/15/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,4.17,,4.17
03/15/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,43.34,,43.34
03/24/17,Div,SCHW US BRD MKT ETF,SCHB,_DivInc,SCHWAB US BROAD MARKET  ETF,,,,450.05,,450.05
03/24/17,Div,SCH US DIV EQUITY ETF,SCHD,_DivInc,SCHWAB US DIVIDEND      EQUITY ETF,,,,1155.29,,1155.29
03/24/17,Div,SCHW US LCAP GRO ETF,SCHG,_DivInc,SCHWAB US LARGE CAP     GROWTH ETF,,,,140.9,,140.9
03/24/17,Div,SCH US REIT ETF,SCHH,_DivInc,CHARLES SCHWAB US REIT  ETF,,,,429.35,,429.35
03/27/17,Bought,SCHW US BRD MKT ETF,SCHB,,Reinvest of SCHWAB US BROAD MARKET  ETF,56.15,8.02,,-450.05,450.05,
03/27/17,Cash,-Cash-,,[Schwab Bank Checking],TRANSFER FUNDS TO SCHWAB BANK - 440000942369,,,,-16000,,-16000
03/28/17,Div,Vanguard High Dividend Yield Index ETF,VYM,_DivInc,VANGUARD HIGH DIVIDEND  YIELD ETF,,,,1667.68,,1667.68
03/30/17,Div,ISHARES CORE US GROWTH ETF,IUSG,_DivInc,DIVIDEND RECEIVED,,,,38.79,,38.79
03/30/17,Div,ISHARES TR S&P 500/ VALUE INDEX ETF,IVE,_DivInc,DIVIDEND RECEIVED,,,,1979.83,,1979.83
03/31/17,Div,WisdomTree High Dividend ETF,DHS,_DivInc,WISDOMTREE HIGH DIVIDENDETF,,,,754.6,,754.6
03/31/17,Div,WisdomTree LargeCap Dividend ETF,DLN,_DivInc,WISDOMTREE LARGECAP     DIVIDEND ETF,,,,531.18,,531.18
03/31/17,Div,WisdomTree Total Dividend ETF,DTD,_DivInc,WISDOMTREE TOTAL        DIVIDEND ETF,,,,441.74,,441.74
03/31/17,Div,FIDELITY CAPITAL & INCOME FUND,FAGIX,_DivInc,DIVIDEND RECEIVED,,,,1907.03,,1907.03
03/31/17,Div,FIDELITY CASH RESERVES,FDRXX,_DivInc,DIVIDEND RECEIVED,,,,1.61,,1.61
03/31/17,Cash,-Cash-,,Interest Earned,INTEREST EARNED,,,,0.07,,0.07
04/07/17,Div,Vanguard Long-Term Bond Index ETF,BLV,_DivInc,VANGUARD LONG TERM BOND ETF,,,,911.59,,911.59
04/07/17,Div,SPARTAN 500 INDEX FD ADVANTAGE CLASS,FUSVX,_DivInc,DIVIDEND RECEIVED,,,,1462.4,,1462.4
04/17/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,3.5,,3.5
04/17/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,61.71,,61.71
04/28/17,Div,WisdomTree High Dividend ETF,DHS,_DivInc,WISDOMTREE HIGH DIVIDENDETF,,,,277.2,,277.2
04/28/17,Div,WisdomTree LargeCap Dividend ETF,DLN,_DivInc,WISDOMTREE LARGECAP     DIVIDEND ETF,,,,183.87,,183.87
04/28/17,Div,WisdomTree Total Dividend ETF,DTD,_DivInc,WISDOMTREE TOTAL        DIVIDEND ETF,,,,152.91,,152.91
04/28/17,Div,FIDELITY CAPITAL & INCOME FUND,FAGIX,_DivInc,DIVIDEND RECEIVED,,,,1827.71,,1827.71
04/28/17,Div,FIDELITY CASH RESERVES,FDRXX,_DivInc,DIVIDEND RECEIVED,,,,2.99,,2.99
04/28/17,Cash,-Cash-,,Interest Earned,INTEREST EARNED,,,,0.08,,0.08
05/05/17,Div,Vanguard Long-Term Bond Index ETF,BLV,_DivInc,VANGUARD LONG TERM BOND ETF,,,,901.7,,901.7
05/12/17,Cash,-Cash-,,[Schwab Bank Checking],TRANSFER FUNDS TO SCHWAB BANK - 440000942369,,,,-6500,,-6500
05/15/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,2.1,,2.1
05/15/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,54.77,,54.77
05/26/17,Div,WisdomTree High Dividend ETF,DHS,_DivInc,WISDOMTREE HIGH DIVIDENDETF,,,,446.6,,446.6
05/26/17,Div,WisdomTree LargeCap Dividend ETF,DLN,_DivInc,WISDOMTREE LARGECAP     DIVIDEND ETF,,,,296.24,,296.24
05/26/17,Div,WisdomTree Total Dividend ETF,DTD,_DivInc,WISDOMTREE TOTAL        DIVIDEND ETF,,,,237.86,,237.86
05/31/17,Div,FIDELITY CAPITAL & INCOME FUND,FAGIX,_DivInc,DIVIDEND RECEIVED,,,,1838.34,,1838.34
05/31/17,Div,FIDELITY CASH RESERVES,FDRXX,_DivInc,DIVIDEND RECEIVED,,,,3.68,,3.68
05/31/17,Cash,-Cash-,,Interest Earned,INTEREST EARNED,,,,0.1,,0.1
06/05/17,XOut,-Cash-,,[Schwab Bank Checking],ELECTRONIC FUNDS TRANSFER PAID,,,,-13765,,-13765
06/07/17,IntInc,"CITIZENS BANK, NA 0.7%17CD",9732645,_IntInc,"CITIZENS BANK, NA 0.7XXX**MATURED**             PROVIDENCE RI",,,,157.07,,157.07
06/07/17,Sold,"CITIZENS BANK, NA 0.7%17CD",9732645,,,100,-450,,45000,-45000,
06/07/17,Div,Vanguard Long-Term Bond Index ETF,BLV,_DivInc,VANGUARD LONG TERM BOND ETF,,,,919.15,,919.15
06/12/17,IntInc,STATE BANK OF INDIA 0.75%17,9702757,_IntInc,STATE BK OF INDI 0.75XXX**MATURED**             NEW YORK NY,,,,878.84,,878.84
06/12/17,Sold,STATE BANK OF INDIA 0.75%17,9702757,,STATE BK OF INDI 0.75XXX**MATURED**             NEW YORK NY,100,-2350,,235000,-235000,
06/15/17,Div,SCHWAB CASH RESERVES SWEEP SHARES,SWSXX,_DivInc,SCHWAB CASH RESERVES    SWEEP SHARES,,,,16.86,,16.86
06/15/17,Div,SCHWAB VALUE ADVANTAGE,SWVXX,_DivInc,SCHWAB VALUE ADVANTAGE  MONEY FUND,,,,61.54,,61.54
06/23/17,Div,SCHW US BRD MKT ETF,SCHB,_DivInc,SCHWAB US BROAD MARKET  ETF,,,,510.06,,510.06
06/23/17,Div,SCH US DIV EQUITY ETF,SCHD,_DivInc,SCHWAB US DIVIDEND      EQUITY ETF,,,,1174.44,,1174.44
06/23/17,Div,SCHW US LCAP GRO ETF,SCHG,_DivInc,SCHWAB US LARGE CAP     GROWTH ETF,,,,189.69,,189.69
06/23/17,Div,SCH US REIT ETF,SCHH,_DivInc,CHARLES SCHWAB US REIT  ETF,,,,950.37,,950.37
06/26/17,Bought,SCHW US BRD MKT ETF,SCHB,,Reinvest of SCHWAB US BROAD MARKET  ETF,58.89,8.66,,-510.06,510.06,
06/29/17,Div,Vanguard High Dividend Yield Index ETF,VYM,_DivInc,VANGUARD HIGH DIVIDEND  YIELD ETF,,,,1774.89,,1774.89
06/30/17,Div,WisdomTree High Dividend ETF,DHS,_DivInc,WISDOMTREE US HIGH      DIVIDEND ETF,,,,754.6,,754.6
06/30/17,Div,WisdomTree LargeCap Dividend ETF,DLN,_DivInc,WISDOMTREE US LARGECAP  DIVIDEND ETF,,,,490.32,,490.32
06/30/17,Div,WisdomTree Total Dividend ETF,DTD,_DivInc,WISDOMTREE US TOTAL     DIVIDEND ETF,,,,424.75,,424.75
06/30/17,Div,FIDELITY CAPITAL & INCOME FUND,FAGIX,_DivInc,DIVIDEND RECEIVED,,,,1801.15,,1801.15
